id,code,valence,arousal
Emot01a,:D,5.90,5.10
Emot01b,XD,5.20,4.68
Emot08a,";)",5.39,4.66
Emot08b,*),4.18,3.43
Emot09,":"">",4.14,4.02
Emot11,B-),4.70,3.28
Emot13b,:-*,4.90,3.85
Emot18a,:),6.23,4.43
Emot18b,:],4.80,3.51
Emot18c,:-),5.78,4.28
Emot19b,>:D<,4.68,4.34
Emot20a,0:),4.40,3.38
Emot20b,O:-),4.38,2.93
Emot22,:|,3.20,3.39
Emot24,[-(,2.75,4.07
Emot26,:>,4.20,3.61
Emot29a,:O,3.59,4.74
Emot29b,:-O,3.60,4.73
Emot31a,:X,3.00,4.25
Emot31b,:#,3.12,3.88
Emot31c,:-$,3.48,3.80
Emot35,#:-S,3.12,3.93
Emot36,:-B,4.28,3.73
Emot37a,:P,5.56,4.72
Emot38,8-},3.85,3.66
Emot40a,:(,2.07,4.85
Emot40b,:c,2.79,4.19
Emot42,8-|,3.56,3.44
Emot45a,:/,2.80,3.61
Emot45b,:\,2.90,3.73
Emot45c,:-/,3.19,3.81
Emot46,L-),4.05,3.73
Emot49,:-&,3.66,3.61
Emot54,:-S,3.21,3.95
Emot56a,:'(,2.08,5.10
Emot58,/:),4.13,3.85
Emot61,~X(,3.21,4.26
Emot64a,D:,3.17,4.61
Emot64b,D=,3.30,4.30
Emot67,X(,2.62,4.05
Emot70,>:),4.39,3.63
Emot71,<3,6.41,5.71
Emot72,=(,2.25,4.84
Emot75,"=;",3.83,3.60
Emot80,:-h,3.80,3.65
Emot81,:-t,3.14,3.52
Emot82,8->,3.83,3.72
Emot83,<:-P,5.03,3.95
Emot85,";;)",4.78,3.74
Emot86,:O),4.33,4.16
Emot87,:-c,2.96,4.15
Emot88,=),5.73,4.41
