emotion,valence,arousal
bellicose,-0.125,0.95
aroused,0.375,0.92
adventurous,0.48,0.92
hateful,-0.575,0.86
hostile,-0.275,0.89
envious,-0.275,0.825
alarmed,-0.075,0.89
tense,-0.02,0.855
lusting,0.225,0.85
astonished,0.425,0.89
defient,-0.6,0.725
angry,-0.41,0.79
enraged,-0.17,0.725
afraid,-0.125,0.79
triumphant,0.65,0.79
excited,0.7,0.72
contemptuous,-0.57,0.66
annoyed,-0.445,0.66
conceited,0.19,0.655
ambitious,0.425,0.655
selfconfident,0.82,0.66
distressed,-0.71,0.55
jealous,-0.075,0.55
feeling superior,0.325,0.55
courageous,0.82,0.59
loathing,-0.8,0.43
disgusted,-0.67,0.49
indignant,-0.237,0.46
convinced,0.425,0.425
discontented,-0.67,0.33
frustrated,-0.6,0.39
enthusiastic,0.5,0.33
delighted,0.88,0.36
bitter,-0.8,0.263
suspicious,-0.32,0.263
impatient,-0.037,0.29
light hearted,0.425,0.29
determined,0.738,0.26
insulted,-0.73,0.19
passionate,0.325,0.135
amused,0.55,0.19
happy,0.9,0.163
joyous,0.95,0.135
startled,-0.92,0.03
distrustful,-0.475,0.1
expectant,0.325,0.063
interested,0.65,0.03
disappointed,-0.8,-0.035
impressed,0.39,-0.07
feel well,0.92,-0.07
miserable,-0.925,-0.14
dissatisfied,-0.6,-0.17
apathetic,-0.2,-0.135
confident,0.51,-0.2
amorous,0.85,-0.135
pleased,0.875,-0.1
glad,0.95,-0.17
taken aback,-0.4,-0.235
hopeful,0.62,-0.3
sad,-0.82,-0.4
uncomfortable,-0.67,-0.37
worried,-0.075,-0.335
gloomy,-0.87,-0.465
desperate,-0.8,-0.5
depressed,-0.81,-0.465
despondent,-0.57,-0.43
ashamed,-0.445,-0.5
feel guilt,-0.4,-0.43
languid,-0.23,-0.5
longing,0.225,-0.43
attentive,0.48,-0.463
solemn,0.82,-0.47
serene,0.84,-0.5
embarrassed,-0.312,-0.6
pensive,0.03,-0.6
contemplative,0.58,-0.6
friendly,0.76,-0.6
at ease,0.775,-0.6
content,0.81,-0.565
wavering,-0.57,-0.7
melancholic,-0.045,-0.665
serious,0.225,-0.663
polite,0.37,-0.663
relaxed/calm,0.72,-0.66
satisfied,0.775,-0.63
anxious,-0.725,-0.8
bored,-0.337,-0.79
hesitant,-0.31,-0.73
conscientious,0.325,-0.79
peaceful,0.5,-0.79
dejected,-0.51,-0.86
doubtful,-0.27,-0.963
droopy,-0.325,-0.925
tired,-0.02,-0.99
sleepy,0.025,-0.99
reverent,0.225,-0.96
compassionate,0.375,-0.925
